top,movie,author
1,肖申克的救赎,导演:弗兰克·德拉邦特FrankDarabont   主演:蒂姆·罗宾斯TimRobbins/...
2,霸王别姬,导演:陈凯歌KaigeChen   主演:张国荣LeslieCheung/张丰毅FengyiZha...
3,阿甘正传,导演:罗伯特·泽米吉斯RobertZemeckis   主演:汤姆·汉克斯TomHanks/...
4,这个杀手不太冷,导演:吕克·贝松LucBesson   主演:让·雷诺JeanReno/娜塔莉·波特曼...
5,泰坦尼克号,导演:詹姆斯·卡梅隆JamesCameron   主演:莱昂纳多·迪卡普里奥Leonardo...
6,美丽人生,导演:罗伯托·贝尼尼RobertoBenigni   主演:罗伯托·贝尼尼RobertoBeni...
7,千与千寻,导演:宫崎骏HayaoMiyazaki   主演:柊瑠美RumiHîragi/入野自由Miy...
8,辛德勒的名单,导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:连姆·尼森LiamNeeson...
9,盗梦空间,导演:克里斯托弗·诺兰ChristopherNolan   主演:莱昂纳多·迪卡普里奥Le...
10,忠犬八公的故事,导演:莱塞·霍尔斯道姆LasseHallström   主演:理查·基尔RichardGer...
11,海上钢琴师,导演:朱塞佩·托纳多雷GiuseppeTornatore   主演:蒂姆·罗斯TimRoth/...
12,星际穿越,导演:克里斯托弗·诺兰ChristopherNolan   主演:马修·麦康纳MatthewMc...
13,楚门的世界,导演:彼得·威尔PeterWeir   主演:金·凯瑞JimCarrey/劳拉·琳妮Lau...
14,三傻大闹宝莱坞,导演:拉库马·希拉尼RajkumarHirani   主演:阿米尔·汗AamirKhan/卡...
15,机器人总动员,导演:安德鲁·斯坦顿AndrewStanton   主演:本·贝尔特BenBurtt/艾丽...
16,放牛班的春天,导演:克里斯托夫·巴拉蒂ChristopheBarratier   主演:热拉尔·朱尼奥Gé...
17,大话西游之大圣娶亲,导演:刘镇伟JeffreyLau   主演:周星驰StephenChow/吴孟达ManTatNg...
18,熔炉,导演:黄东赫Dong-hyukHwang   主演:孔侑YooGong/郑有美Yu-miJung/...
19,疯狂动物城,导演:拜伦·霍华德ByronHoward/瑞奇·摩尔RichMoore   主演:金妮弗·...
20,无间道,导演:刘伟强/麦兆辉   主演:刘德华/梁朝伟/黄秋生
21,教父,导演:弗朗西斯·福特·科波拉FrancisFordCoppola   主演:马龙·白兰度M...
22,龙猫,导演:宫崎骏HayaoMiyazaki   主演:日高法子NorikoHidaka/坂本千夏Ch...
23,当幸福来敲门,导演:加布里尔·穆奇诺GabrieleMuccino   主演:威尔·史密斯WillSmith...
24,怦然心动,导演:罗伯·莱纳RobReiner   主演:玛德琳·卡罗尔MadelineCarroll/卡...
25,触不可及,导演:奥利维·那卡什OlivierNakache/艾力克·托兰达EricToledano   主...
26,控方证人,导演:比利·怀尔德BillyWilder   主演:泰隆·鲍华TyronePower/玛琳·...
27,蝙蝠侠：黑暗骑士,导演:克里斯托弗·诺兰ChristopherNolan   主演:克里斯蒂安·贝尔Christ...
28,活着,导演:张艺谋YimouZhang   主演:葛优YouGe/巩俐LiGong/姜武WuJiang
29,末代皇帝,导演:贝纳尔多·贝托鲁奇BernardoBertolucci   主演:尊龙JohnLone/陈...
30,寻梦环游记,导演:李·昂克里奇LeeUnkrich/阿德里安·莫利纳AdrianMolina   主演:...
31,乱世佳人,导演:维克多·弗莱明VictorFleming/乔治·库克GeorgeCukor   主演:费...
32,何以为家,导演:娜丁·拉巴基NadineLabaki   主演:扎因·拉费阿Zainal-Rafeea/...
33,指环王3：王者无敌,导演:彼得·杰克逊PeterJackson   主演:伊利亚·伍德ElijahWood/西恩...
34,摔跤吧！爸爸,导演:涅提·蒂瓦里NiteshTiwari   主演:阿米尔·汗AamirKhan/法缇玛...
35,飞屋环游记,导演:彼特·道格特PeteDocter/鲍勃·彼德森BobPeterson   主演:爱德...
36,少年派的奇幻漂流,导演:李安AngLee   主演:苏拉·沙玛SurajSharma/伊尔凡·可汗Irrfan...
37,十二怒汉,导演:SidneyLumet   主演:亨利·方达HenryFonda/马丁·鲍尔萨姆Marti...
38,哈利·波特与魔法石,导演:ChrisColumbus   主演:DanielRadcliffe/EmmaWatson/RupertGrint
39,素媛,导演:李濬益Jun-ikLee   主演:薛景求Kyung-guSol/严志媛Ji-wonUhm...
40,鬼子来了,导演:姜文WenJiang   主演:姜文WenJiang/香川照之TeruyukiKagawa/...
41,哈尔的移动城堡,导演:宫崎骏HayaoMiyazaki   主演:倍赏千惠子ChiekoBaishô/木村拓...
42,天空之城,导演:宫崎骏HayaoMiyazaki   主演:田中真弓MayumiTanaka/横泽启子Ke...
43,大话西游之月光宝盒,导演:刘镇伟JeffreyLau   主演:周星驰StephenChow/吴孟达ManTatNg...
44,罗马假日,导演:威廉·惠勒WilliamWyler   主演:奥黛丽·赫本AudreyHepburn/格...
45,天堂电影院,导演:朱塞佩·托纳多雷GiuseppeTornatore   主演:安东内拉·阿蒂利Anton...
46,我不是药神,导演:文牧野MuyeWen   主演:徐峥ZhengXu/王传君ChuanjunWang/周...
47,闻香识女人,导演:马丁·布莱斯MartinBrest   主演:阿尔·帕西诺AlPacino/克里斯...
48,辩护人,导演:杨宇硕Woo-seokYang   主演:宋康昊Kang-hoSong/金英爱Yeong-ae...
49,搏击俱乐部,导演:大卫·芬奇DavidFincher   主演:爱德华·诺顿EdwardNorton/布拉...
50,教父2,导演:弗朗西斯·福特·科波拉FrancisFordCoppola   主演:阿尔·帕西诺A...
51,大闹天宫,导演:万籁鸣LaimingWan/唐澄ChengTang   主演:邱岳峰YuefengQiu/...
52,狮子王,导演:RogerAllers/罗伯·明可夫RobMinkoff   主演:乔纳森·泰勒·托马...
53,死亡诗社,导演:彼得·威尔PeterWeir   主演:罗宾·威廉姆斯RobinWilliams/罗伯...
54,指环王2：双塔奇兵,导演:彼得·杰克逊PeterJackson   主演:伊利亚·伍德ElijahWood/西恩...
55,猫鼠游戏,导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:莱昂纳多·迪卡普里奥L...
56,钢琴家,导演:罗曼·波兰斯基RomanPolanski   主演:艾德里安·布洛迪AdrienBrod...
57,窃听风暴,导演:弗洛里安·亨克尔·冯·多纳斯马尔克FlorianHenckelvonDonnersmarck  &n...
58,指环王1：魔戒再现,导演:彼得·杰克逊PeterJackson   主演:伊利亚·伍德ElijahWood/西恩...
59,黑客帝国,导演:安迪·沃卓斯基AndyWachowski/拉娜·沃卓斯基LanaWachowski   主...
60,美丽心灵,导演:朗·霍华德RonHoward   主演:罗素·克劳RussellCrowe/艾德·哈...
61,饮食男女,导演:李安AngLee   主演:郎雄SihungLung/杨贵媚Kuei-MeiYang/吴...
62,两杆大烟枪,导演:GuyRitchie   主演:JasonFlemyng/DexterFletcher/NickMoran
63,飞越疯人院,导演:米洛斯·福尔曼MilošForman   主演:杰克·尼科尔森JackNichols...
64,让子弹飞,导演:姜文WenJiang   主演:姜文WenJiang/葛优YouGe/周润发Yun-F...
65,本杰明·巴顿奇事,导演:大卫·芬奇DavidFincher   主演:凯特·布兰切特CateBlanchett/...
66,绿皮书,导演:彼得·法雷里PeterFarrelly   主演:维果·莫腾森ViggoMortensen/...
67,看不见的客人,导演:奥里奥尔·保罗OriolPaulo   主演:马里奥·卡萨斯MarioCasas/阿...
68,西西里的美丽传说,导演:朱塞佩·托纳多雷GiuseppeTornatore   主演:莫妮卡·贝鲁奇Monica...
69,海蒂和爷爷,导演:阿兰·葛斯彭纳AlainGsponer   主演:阿努克·斯特芬AnukSteffen/...
70,拯救大兵瑞恩,导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:汤姆·汉克斯TomHanks...
71,小鞋子,导演:马基德·马基迪MajidMajidi   主演:法拉赫阿米尔·哈什米安AmirFa...
72,穿条纹睡衣的男孩,导演:马克·赫尔曼MarkHerman   主演:阿萨·巴特菲尔德AsaButterfield...
73,情书,导演:岩井俊二ShunjiIwai   主演:中山美穗MihoNakayama/丰川悦司Ets...
74,海豚湾,导演:路易·西霍尤斯LouiePsihoyos   主演:RichardO'Barry/路易·西霍...
75,音乐之声,导演:罗伯特·怀斯RobertWise   主演:朱莉·安德鲁斯JulieAndrews/克...
76,美国往事,导演:赛尔乔·莱翁内SergioLeone   主演:罗伯特·德尼罗RobertDeNiro...
77,致命魔术,导演:克里斯托弗·诺兰ChristopherNolan   主演:休·杰克曼HughJackman...
78,低俗小说,导演:昆汀·塔伦蒂诺QuentinTarantino   主演:约翰·特拉沃尔塔JohnTra...
79,沉默的羔羊,导演:乔纳森·戴米JonathanDemme   主演:朱迪·福斯特JodieFoster/安...
80,七宗罪,导演:大卫·芬奇DavidFincher   主演:摩根·弗里曼MorganFreeman/布...
81,蝴蝶效应,导演:埃里克·布雷斯EricBress/J·麦基·格鲁伯J.MackyeGruber   主...
82,禁闭岛,导演:MartinScorsese   主演:莱昂纳多·迪卡普里奥LeonardoDiCaprio/...
83,心灵捕手,导演:格斯·范·桑特GusVanSant   主演:马特·达蒙MattDamon/罗宾·...
84,布达佩斯大饭店,导演:韦斯·安德森WesAnderson   主演:拉尔夫·费因斯RalphFiennes/...
85,春光乍泄,导演:王家卫KarWaiWong   主演:张国荣LeslieCheung/梁朝伟TonyLeu...
86,被嫌弃的松子的一生,导演:中岛哲也TetsuyaNakashima   主演:中谷美纪MikiNakatani/瑛太E...
87,摩登时代,导演:查理·卓别林CharlesChaplin   主演:查理·卓别林CharlesChaplin...
88,阿凡达,导演:詹姆斯·卡梅隆JamesCameron   主演:萨姆·沃辛顿SamWorthington...
89,剪刀手爱德华,导演:蒂姆·波顿TimBurton   主演:约翰尼·德普JohnnyDepp/薇诺娜·...
90,勇敢的心,导演:梅尔·吉布森MelGibson   主演:梅尔·吉布森MelGibson/苏菲·玛...
91,哈利·波特与死亡圣器(下),导演:大卫·叶茨DavidYates   主演:丹尼尔·雷德克里夫DanielRadcliffe...
92,喜剧之王,导演:周星驰StephenChow/李力持Lik-ChiLee   主演:周星驰StephenCh...
93,致命ID,导演:詹姆斯·曼高德JamesMangold   主演:约翰·库萨克JohnCusack/雷...
94,加勒比海盗,导演:戈尔·维宾斯基GoreVerbinski   主演:约翰尼·德普JohnnyDepp/...
95,天使爱美丽,导演:让-皮埃尔·热内Jean-PierreJeunet   主演:奥黛丽·塔图AudreyTau...
96,杀人回忆,导演:奉俊昊Joon-hoBong   主演:宋康昊Kang-hoSong/金相庆Sang-kyun...
97,狩猎,导演:托马斯·温特伯格ThomasVinterberg   主演:麦斯·米科尔森MadsMik...
98,断背山,导演:李安AngLee   主演:希斯·莱杰HeathLedger/杰克·吉伦哈尔Jake...
99,请以你的名字呼唤我,导演:卢卡·瓜达尼诺LucaGuadagnino   主演:艾米·汉莫ArmieHammer/...
100,7号房的礼物,导演:李焕庆Hwan-kyeongLee   主演:柳承龙Seung-yongRyoo/朴信惠Shi...
101,幽灵公主,导演:宫崎骏HayaoMiyazaki   主演:松田洋治YôjiMatsuda/石田百合...
102,小森林 夏秋篇,导演:森淳一JunichiMori   主演:桥本爱AiHashimoto/三浦贵大Takahir...
103,阳光灿烂的日子,导演:姜文WenJiang   主演:夏雨YuXia/宁静JingNing/陶虹HongTao
104,红辣椒,导演:今敏SatoshiKon   主演:林原惠美MegumiHayashibara/江守彻Toru...
105,第六感,导演:M·奈特·沙马兰M.NightShyamalan   主演:布鲁斯·威利斯BruceWi...
106,重庆森林,导演:王家卫KarWaiWong   主演:林青霞BrigitteLin/金城武TakeshiK...
107,入殓师,导演:泷田洋二郎YôjirôTakita   主演:本木雅弘MasahiroMotoki/...
108,小森林 冬春篇,导演:森淳一JunichiMori   主演:桥本爱AiHashimoto/三浦贵大Takahir...
109,消失的爱人,导演:大卫·芬奇DavidFincher   主演:本·阿弗莱克BenAffleck/罗莎蒙...
110,爱在黎明破晓前,导演:理查德·林克莱特RichardLinklater   主演:伊桑·霍克EthanHawke...
111,一一,导演:杨德昌EdwardYang   主演:吴念真/李凯莉KellyLee/金燕玲Elai...
112,唐伯虎点秋香,导演:李力持Lik-ChiLee   主演:周星驰StephenChow/巩俐LiGong/陈...
113,蝙蝠侠：黑暗骑士崛起,导演:克里斯托弗·诺兰ChristopherNolan   主演:克里斯蒂安·贝尔Christ...
114,侧耳倾听,导演:近藤喜文YoshifumiKondo   主演:本名阳子YoukoHonna/小林桂树K...
115,超脱,导演:托尼·凯耶TonyKaye   主演:艾德里安·布洛迪AdrienBrody/马西...
116,倩女幽魂,导演:程小东Siu-TungChing   主演:张国荣LeslieCheung/王祖贤JoeyW...
117,玛丽和马克思,导演:亚当·艾略特AdamElliot   主演:托妮·科莱特ToniCollette/菲利...
118,无人知晓,导演:是枝裕和HirokazuKoreeda   主演:柳乐优弥YûyaYagira/北浦爱...
119,超能陆战队,导演:唐·霍尔DonHall/克里斯·威廉姆斯ChrisWilliams   主演:斯科特...
120,菊次郎的夏天,导演:北野武TakeshiKitano   主演:北野武TakeshiKitano/关口雄介Yus...
121,甜蜜蜜,导演:陈可辛PeterChan   主演:黎明LeonLai/张曼玉MaggieCheung/...
122,萤火之森,导演:大森贵弘TakahiroOmori   主演:佐仓绫音AyaneSakura/内山昂辉K...
123,告白,导演:中岛哲也TetsuyaNakashima   主演:松隆子TakakoMatsu/冈田将生...
124,大鱼,导演:蒂姆·波顿TimBurton   主演:伊万·麦克格雷格EwanMcGregor/阿...
125,借东西的小人阿莉埃蒂,导演:米林宏昌HiromasaYonebayashi   主演:志田未来MiraiShida/神木...
126,阳光姐妹淘,导演:姜炯哲Hyeong-CheolKang   主演:沈恩京Eun-kyungShim/闵孝琳Hy...
127,驯龙高手,导演:迪恩·德布洛斯DeanDeBlois/克里斯·桑德斯ChrisSanders   主演:...
128,射雕英雄传之东成西就,导演:刘镇伟JeffreyLau   主演:梁朝伟TonyLeungChiuWai/林青霞Bri...
129,幸福终点站,导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:汤姆·汉克斯TomHanks...
130,爱在日落黄昏时,导演:理查德·林克莱特RichardLinklater   主演:伊桑·霍克EthanHawke...
131,功夫,导演:周星驰StephenChow   主演:周星驰StephenChow/元秋QiuYuen/...
132,恐怖直播,导演:金秉祐Byeong-wooKim   主演:河正宇Jung-wooHa/李璟荣Kyeong-y...
133,完美的世界,导演:克林特·伊斯特伍德ClintEastwood   主演:凯文·科斯特纳KevinCos...
134,人生果实,导演:伏原健之KenshiFushihara   主演:津端修一ShûichiTsubata/津...
135,神偷奶爸,导演:皮艾尔·柯芬PierreCoffin/克里斯·雷纳德ChrisRenaud   主演:...
136,怪兽电力公司,导演:彼特·道格特PeteDocter/大卫·斯沃曼DavidSilverman   主演:约...
137,玩具总动员3,导演:李·昂克里奇LeeUnkrich   主演:汤姆·汉克斯TomHanks/蒂姆·艾...
138,天书奇谭,导演:王树忱ShuchenWang/钱运达YundaQian   主演:丁建华JianhuaDin...
139,傲慢与偏见,导演:乔·怀特JoeWright   主演:凯拉·奈特莉KeiraKnightley/马修·...
140,血战钢锯岭,导演:梅尔·吉布森MelGibson   主演:安德鲁·加菲尔德AndrewGarfield/...
141,哈利·波特与阿兹卡班的囚徒,导演:AlfonsoCuarón   主演:丹尼尔·雷德克里夫DanielRadcliffe/Emma...
142,教父3,导演:弗朗西斯·福特·科波拉FrancisFordCoppola   主演:阿尔·帕西诺A...
143,时空恋旅人,导演:理查德·柯蒂斯RichardCurtis   主演:多姆纳尔·格里森DomhnallGl...
144,釜山行,导演:延尚昊Sang-hoYeon   主演:孔侑YooGong/郑有美Yu-miJung/马...
145,风之谷,导演:宫崎骏HayaoMiyazaki   主演:岛本须美SumiShimamoto/松田洋治Y...
146,哪吒闹海,导演:严定宪DingxianYan/王树忱ShuchenWang   主演:梁正晖Zhenghui...
147,电锯惊魂,导演:詹姆斯·温JamesWan   主演:雷·沃纳尔LeighWhannell/加利·艾...
148,被解救的姜戈,导演:昆汀·塔伦蒂诺QuentinTarantino   主演:杰米·福克斯JamieFoxx/...
149,上帝之城,导演:费尔南多·梅里尔斯FernandoMeirelles/卡迪亚·兰德KátiaLund  &nbsp...
150,喜宴,导演:李安AngLee   主演:赵文瑄WinstonChao/郎雄SihungLung/归亚...
151,七武士,导演:黑泽明AkiraKurosawa   主演:三船敏郎ToshirôMifune/志村乔...
152,英雄本色,导演:吴宇森JohnWoo   主演:周润发Yun-FatChow/狄龙LungTi/张国...
153,我是山姆,导演:杰茜·尼尔森JessieNelson   主演:SeanPenn/DakotaFanning/Mi...
154,谍影重重3,导演:保罗·格林格拉斯PaulGreengrass   主演:马特·达蒙MattDamon/...
155,头号玩家,导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:泰伊·谢里丹TyeSheri...
156,哈利·波特与密室,导演:ChrisColumbus   主演:丹尼尔·雷德克里夫DanielRadcliffe/艾玛...
157,岁月神偷,导演:罗启锐AlexLaw   主演:吴君如SandraNg/任达华SimonYam/钟绍...
158,一个叫欧维的男人决定去死,导演:汉内斯·赫尔姆HannesHolm   主演:罗夫·拉斯加德RolfLassgård...
159,纵横四海,导演:吴宇森JohnWoo   主演:周润发Yun-FatChow/张国荣LeslieCheung...
160,三块广告牌,导演:马丁·麦克唐纳MartinMcDonagh   主演:弗兰西斯·麦克多蒙德France...
161,疯狂原始人,导演:科克·德·米科KirkDeMicco/克里斯·桑德斯ChrisSanders   主演...
162,心迷宫,导演:忻钰坤YukunXin   主演:霍卫民WeiminHuo/王笑天XiaotianWang...
163,达拉斯买家俱乐部,导演:让-马克·瓦雷Jean-MarcVallée   主演:马修·麦康纳MatthewMcCon...
